id;comment;comp_id;start_year;end_year;source;license;store_type;is_H_gas;is_onShore;operator_name;max_workingGas_M_m3;max_workingGas_TWh;max_cap_store2pipe_M_m3_per_d;max_cap_store2pipe_GWh_per_d;max_cap_pipe2store_GWh_per_d;access_regime
TEXT;TEXT;TEXT;INT;INT;TEXT;TEXT;TEXT;INT;INT;TEXT;REAL;REAL;REAL;REAL;REAL;TEXT
[];[];[];[yyyy];[yyyy];[];[];[];[];[];[];[M Nm^3];[TWh];[M m^3/d];[GWh/d];[GWh/d];[]
Bonikowo_1;Bonikowo;Bonikowo;2010;;http://www.pgnig.pl/reports/annualreport2012/en/ar-obrot-magazynowanie-2.html;;Leeres Feld;;1;PGNiG;;2.3;;27.6;19.3;No TPA
Bordolano_2;Bordolano;Bordolano;2016;;http://www.stogit.it/en/index.html;;Leeres Feld;;1;STOGIT;;;;;;rTPA
Bordolano_3;Bordolano;Bordolano;2019;;http://www.stogit.it/en/index.html;;Leeres Feld;;1;STOGIT;;8.7248;;185.4;163.6;rTPA
Breitbrunn;Breitbrunn;Breitbrunn;1996;;https://www.uniper-energy-storage.com/cps/rde/xchg/ust/hs.xsl/3252.htm?rdeLocaleAttr=en;;Leeres Gas Feld;;1;Uniper Energy Storage;1080;11.11;12.48;139.8;67.2;nTPA
BruggrafBernsdorf;BruggrafBernsdorf;BruggrafBernsdorf;1970;;https://www.ontras.com/fileadmin/user_upload/Dokumente_Download/Publikationen/ONTRAS_Netzpufferanlage_Burggraf_Bernsdorf.pdf;;Salz Kaverne;;1;Ontras Gastransport;3;0.0345;0.96;0;0;No TPA
Brugherio;Brugherio;Brugherio;1966;;http://www.stogit.it/en/index.html;;Leeres Feld;;1;STOGIT;;;;;;rTPA
Brzeznica_1;Brzeznica;Brzeznica;1979;;https://www.osm.pgnig.pl/en;;Leeres Feld;;1;Operator Systemu Magazynowania Sp. z o.o.;;0.7313;;10.4;12.4;rTPA
Brzeznica_1;Brzeznica;Brzeznica;2017;;https://www.osm.pgnig.pl/en;;Leeres Feld;;1;Operator Systemu Magazynowania Sp. z o.o.;;0.3938;;5.7;3.8;rTPA
Buchholz;Buchholz;Buchholz;;2023;https://www.energiefachmagazin.de/Branchen-News/VNG-Gasspeicher-GmbH-legt-Erdgasspeicher-Buchholz-still;;;;1;VNG Gasspeicher;175;;1.92;;;
Carrico_1;Carrico;Carrico;2003;;https://www.ign.ren.pt/en/armazenamento-subterraneo3;;Salz Kaverne;;1;REN Armazenagen;239;3.57;;85;24;rTPA
Carrico_2;Carrico;Carrico;2017;;https://www.ign.ren.pt/en/armazenamento-subterraneo4;;Salz Kaverne;;1;REN Armazenagen;;0;;0;8.2;rTPA
