id;comment;comp_id;start_year;end_year;source;license;store_type;is_H_gas;is_onShore;operator_name;Compressor;num_storage_wells;structure_depth_m;max_workingGas_M_m3;max_workingGas_TWh;max_workingGas_kWh;max_cap_store2pipe_M_m3_per_d;max_cap_store2pipe_GWh_per_d;max_cap_store2pipe_GWh_per_d;max_cap_pipe2store_m3_per_d;max_cap_pipe2store_GWh_per_d;max_cap_pipe2store_kWh_per_h;access_regime
TEXT;TEXT;TEXT;INT;INT;TEXT;TEXT;TEXT;INT;INT;TEXT;REAL;REAL;REAL;REAL;REAL;REAL;REAL;REAL;REAL;REAL;REAL;REAL;TEXT
[];[];[];[yyyy];[yyyy];[];[];[];[];[];[];[MW];[];[m];[M Nm^3];[TWh];[kWh];[M m^3/d];[GWh/d];[kWh/h];[M^3/d];[GWh/d];[kWh/h];[]
Kardoskut;Kardoskut;Kardoskut;1978;;http://www.magyarfoldgaztarolo.hu/en/Lapok/default.aspx;;Leeres Feld;;;;;;;;;;;;;;;;
Katharina_1;Katharina;Katharina;2012;;http://www.ugs-katharina.de/en/unternehmen.html;;Salz Kaverne;;;;;;;;;;;;;;;;
Katharina_2;Katharina;Katharina_EWE;2020;;;;;;;;;;;;;;;;;;;;
KielRoenne;Kiel-Roenne;KielRoenne;1971;;https://www.uniper-energy-storage.com/cps/rde/xchg/ust/hs.xsl/3252.htm?rdeLocaleAttr=en;;Salz Kaverne;;;;;;;;;;;;;;;;
KingStreet;King Street;KingStreet;2999;;http://www.kingstreetenergy.com/;;Salz Kaverne;;;;;;;;;;;;;;;;
KinsaleSouthwest;KinsaleSouthwest;KinsaleSouthwest;2006;2017;http://www.kinsaleenergy.ie/gas-storage.html;;Leeres Feld;;;;;;;;;;;;;;;;
Kirchheilingen;Kirchheilingen;Kirchheilingen;1973;;https://www.vng-gasspeicher.de/storage_locations;;Leeres Gas Feld;;;;;;;;;;;;;;;;
Kosakowo_1;Kosakowo;Kosakowo;2014;;https://www.osm.pgnig.pl/en;;Salz Kaverne;;;;;;;;;;;;;;;;
Kosakowo_2;Kosakowo;Kosakowo;2023;;https://www.osm.pgnig.pl/en;;Salz Kaverne;;;;;;;;;;;;;;;;
Kraak;Kraak;Kraak;2000;;https://www.uniper-energy-storage.com/cps/rde/xchg/ust/hs.xsl/3252.htm?rdeLocaleAttr=en;;Salz Kaverne;;;;;;;;;;;;;;;;
Krummhoern;Krummhoern;Krummhoern;1977;;https://www.uniper-energy-storage.com/cps/rde/xchg/ust/hs.xsl/3252.htm?rdeLocaleAttr=en;;Salz Kaverne;;;;;;;;;;;;;;;;
LB4_1;Lÿb complex (incl. Gajary-Baden);LB4_Nafta;1977;;http://www.nafta.sk/en/about-gas-storage;;Leeres Gas Feld;;;;;;;;;;;;;;;;
LB4_2;Lÿb 4;LB4_Pozagas;1997;;http://www.pozagas.sk/en/?PHPSESSID=8d83cc7890abb7980f6793cf56633a72;;Leeres Gas Feld;;;;;;;;;;;;;;;;
LB4_3;Lÿb complex;LB4_Nafta;2021;;http://www.nafta.sk/en/about-gas-storage;;Leeres Gas Feld;;;;;;;;;;;;;;;;
Lesum_1;Lesum_Storengy;Lesum_Storengy;2000;;http://www.storengy.com/countries/deutschland/en/products-services.html;;Salz Kaverne;;;;;;;;;1450728000;;;2167000;;;1034250;
Lesum_2;Lesum_Wesernetz;Lesum_Wesernetz;2000;;https://www.wesernetz.de/netznutzung/bremen/gasnetz-speicheranlagen.php;;Salz Kaverne;;;;;;;;;;;;;;;;
LilleTorup;Lille Torup;LilleTorup;1987;;http://gaslager.energinet.dk/EN/Pages/default.aspx;;Salz Kaverne;;;;;;;;;;;;;;;;
Lobodice;Lobodice;Lobodice;1965;;https://www.innogy-gasstorage.cz/en/index/;;Aquifer;;;;;;;;;;;;;;;;
Loenhout;Loenhout;Loenhout;1985;;http://www.fluxys.com/belgium/en/Services/Storage/Storage;;Aquifer;;;;;;;;;;;;;;;;
Lussagnet;Lussagnet;Lussagnet;1957;;http://www.tigf.fr/en/what-we-can-offer/storage.html;;Aquifer;;;;;;;;;;;;;;;;
Manosque;Manosque;Manosque;1993;;https://www.storengy.com/countries/france/en/nos-sites/manosque.html;;;1;;;;7;1000;496;;;;;;;;;
Marismas;Marismas;Marismas;2012;;http://www.gasnaturalfenosa.com/en/activities/lines+of+business/1285338591925/supply+and+transportation+of+gas.html;;Leeres Feld;;;;;;;;;;;;;;;;
Minerbio_1;Minerbio;Minerbio;1975;;http://www.stogit.it/en/index.html;;Leeres Feld;;;;44.6;51;1300;;;;63;;;;;;
