name;comment;element_type;country;lat;long;exact;start;stop;source;capacity_E_MW;capacity_TH_MW;fuel1;fuel2;fuel3;fuel4;owner;gppd_idnr;url;geolocation_source;year_of_capacity_data;generation_gwh_2013;generation_gwh_2014;generation_gwh_2015;generation_gwh_2016;estimated_generation_gwh
[str];[str];[str];[str];[deg];[deg];[boolean];[yyyy];[yyyy];[str];[double];[double];[str];[str];[str];[str];[str];[str];[str];[str];[yyyy];[GWh];[GWh];[GWh];[GWh];[GWh]
CTCC PLANA DEL VENT 2;;{J};Spain;40.9596;0.8692;1;2007;;Red El«∏ctrica de Espa«Òa;819.03;;Gas;;;;ALPIQ ENERGIA ESPANA  S.A.U.;WRI1006416;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;GEODB;;;;;;1480.094501
CTCC ESCOMBRERAS;;{J};Spain;37.5732;-0.9392;1;2006;;Red El«∏ctrica de Espa«Òa;815.64;;Gas;;;;IBERDROLA GENERACION  S.A.;WRI1006415;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;GEODB;;;;;;1473.968327
ESCATRON;;{J};Spain;41.2977;-0.3376;1;2008;;Red El«∏ctrica de Espa«Òa;804.36;;Gas;;;;VIESGO GENERACION  S.L.;WRI1006465;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;GEODB;;;;;;1453.583889
TARRAGONA;;{J};Spain;41.1081;1.1912;1;2004;;Red El«∏ctrica de Espa«Òa;802.84;;Gas;;;;TARRAGONA POWER  S.L.;WRI1007956;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;GEODB;;;;;;1450.83705
CASTEJON  GRUPO 2;;{J};Spain;42.1718;-1.6773;1;2007;;Red El«∏ctrica de Espa«Òa;797.41;;Gas;;;;HIDROELECTRICA DEL CANTABRICO  S.A.;WRI1006317;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;GEODB;;;;;;1441.024329
SAN ROQUE GRUPO 2;;{J};Spain;36.1955;-5.4131;1;2002;;Red El«∏ctrica de Espa«Òa;791.68;;Gas;;;;ENDESA GENERACION S.A.;WRI1007879;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;GEODB;;;;;;1430.669468
CICLO COMBINADO DE CASTELNOU;;{J};Spain;41.2167;-0.2928;1;2006;;Red El«∏ctrica de Espa«Òa;790.68;;Gas;;;;CASTELNOU ENERGIA  S.L.;WRI1006355;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;GEODB;;;;;;1428.862337
AMOREBIETA;;{J};Spain;43.2347;-2.7497;1;2005;;Red El«∏ctrica de Espa«Òa;786.42;;Gas;;;;BIZKAIA ENERGIA  S.L.U.;WRI1006189;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;GEODB;;;;;;1421.163959
ARRUBAL GRUPO 1;;{J};Spain;42.4194;-2.2511;1;2005;;Red El«∏ctrica de Espa«Òa;784.7;;Gas;;;;CONTOUR GLOBAL LA RIOJA  S.L.;WRI1006210;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;GEODB;;;;;;1418.055694
CASTELLON;;{J};Spain;39.9592;-0.001;1;2002;;Red El«∏ctrica de Espa«Òa;782;;Gas;;;;IBERDROLA GENERACION  S.A.;WRI1006318;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;GEODB;;;;;;1413.17644
CAMPO DE GIBRALTAR GRUPO 20;;{J};Spain;36.1834;-5.3933;1;2004;;Red El«∏ctrica de Espa«Òa;780.66;;Gas;;;;PUENTE MAYORGA GENERACION  S.L.U.;WRI1006292;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;GEODB;;;;;;1410.754885
ACECA  GRUPO 4;;{J};Spain;39.9427;-3.8548;1;2006;;Red El«∏ctrica de Espa«Òa;758.74;;Gas;;;;GAS NATURAL FENOSA GENERACION  S.L.U.;WRI1006159;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;GEODB;;;;;;1371.142573
BAHIA DE ALGECIRAS I;;{J};Spain;36.1829;-5.3905;1;1970;;Red El«∏ctrica de Espa«Òa;731;;Gas;;;;VIESGO GENERACION  S.L.;WRI1006223;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;GEODB;;;;;;1321.012759
GRANADILLA 1  GAS 1;;{J};Spain;28.0863;-16.4939;1;1990;;Red El«∏ctrica de Espa«Òa;693.34;;Oil;Gas;;;UNION ELECTRICA DE CANARIAS GENERACION  S.A.U.;WRI1006506;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;WRI;;;;;;2097.995368
BARRANCO DE TIRAJANA 7  VAPOR 3 (CC1);;{J};Spain;27.8045;-15.4387;1;2008;;Red El«∏ctrica de Espa«Òa;646.26;;Oil;Gas;;;UNION ELECTRICA DE CANARIAS GENERACION  S.A.U.;WRI1006230;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;WRI;;;;;;1955.534783
SON REUS 3  TURBINA DE GAS N 3;;{J};Spain;39.65;2.6807;1;2000;;Red El«∏ctrica de Espa«Òa;563.75;;Oil;Gas;;;GAS Y ELECTRICIDAD GENERACION  S.A.U;WRI1007932;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;WRI;;;;;;1705.865648
CAS TRESORER TG3  CC2;;{J};Spain;39.5672;2.6895;1;2009;;Red El«∏ctrica de Espa«Òa;429;;Gas;;;;ENDESA GENERACION S.A.;WRI1006309;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;GEODB;;;;;;775.2591981
CTCC CASTEJON  GRUPO 1;;{J};Spain;42.1718;-1.6773;1;2002;;Red El«∏ctrica de Espa«Òa;424.91;;Gas;;;;HIDROELECTRICA DEL CANTABRICO  S.A.;WRI1006412;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;GEODB;;;;;;767.8680323
MALA1 (CTCC MALAGA);;{J};Spain;36.7495;-4.5631;1;2009;;Red El«∏ctrica de Espa«Òa;415.509;;Gas;;;;GAS NATURAL FENOSA GENERACION  S.L.U.;WRI1006664;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;GEODB;;;;;;750.8791938
SANTURCE  GRUPO 4;;{J};Spain;43.34;-3.0539;1;2005;;Red El«∏ctrica de Espa«Òa;396.4;;Gas;;;;HIDROELECTRICA IBERICA  S.L.;WRI1007889;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;GEODB;;;;;;716.3467276
CTCC SABON  GRUPO 3;;{J};Spain;43.329;-8.503;1;2008;;Red El«∏ctrica de Espa«Òa;391.31;;Gas;;;;GAS NATURAL FENOSA GENERACION  S.L.U.;WRI1006417;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;GEODB;;;;;;707.1484308
