Country;Type;EIC Code;Short Name;Name;nameShort
SK;Storage Facility;21W000000000088K;;UGS Láb (incl. Gajary baden);Gajary
SK;SSO;42X-POZAGAS-SK-V;Pozagas;Pozagas a.s.;Pozagas a.s.
SK;Storage Facility;21W000000000047Y;;UGS Lab IV - Pozagas;Malacky
UA;SSO;21X0000000013279;Ukrtransgaz;PJSC “UKRTRANSGAZ”;PJSC “UKRTRANSGAZ”
UA;Storage Facility;56W-UGS-BILCHE-4;;UGS Bilche-Volytsko-Uherske;UGS Bilche-Volytsko-Uherske
UA;Storage Facility;56W-UGS-BOHORO-4;;UGS Bohorodchanske;UGS Bohorodchanske
UA;Storage Facility;56W-UGS-CHERVO-W;;UGS Chervonopartyzanske;UGS Chervonopartyzanske
UA;Storage Facility;56W-UGS-DASHAV-S;;UGS Dashavske;UGS Dashavske
UA;Storage Facility;56W-UGS-KEHYCH-X;;UGS Kehychivske;UGS Kehychivske
UA;Storage Facility;56W-UGS-KRPOPY-Q;;UGS Krasnopopivske;UGS Krasnopopivske
UA;Storage Facility;56W-UGS-OLYSHI-5;;UGS Olyshivske;UGS Olyshivske
UA;Storage Facility;56W-UGS-OPARSK-2;;UGS Oparske;UGS Oparske
UA;Storage Facility;56W-UGS-PROLET-T;;UGS Proletarske;UGS Proletarske
UA;Storage Facility;56W-UGS-SOLOKH-4;;UGS Solokhivske;UGS Solokhivske
UA;Storage Facility;56W-UGS-UHERSK-N;;UGS Uherske (XIV-XV);UGS Uherske (XIV-XV)
UA;Storage Facility;56W-UGS-VERHUN-S;;UGS Verhunske;UGS Verhunske
